Dataset,Method,Accuracy,△acc,F1_Score,Balanced_Accuracy,Leaves,Nodes,Depth,Inference_Time_ms,Inference_Time_Std_ms,n_Features,Train_Time_ms,Prune_Time_ms,Memory_KB,Peak_Memory_KB
BanknoteAuth,Base,0.9810457863304578,0.0,0.9808224212288172,0.9811323853671464,24.6,48.2,8.6,0.04445710001164116,0.02065235226983742,4.0,2.5793789987801574,0.0,4.8642578125,69.8912109375
BanknoteAuth,CCP,0.981775713337757,0.0007299270072992359,0.9815642449238572,0.9819520574982941,23.6,46.2,8.6,0.04429969776538201,0.021631906893307715,4.0,60.38972079841187,2.5667103996966034,4.7177734375,76.9841796875
BanknoteAuth,CCP_Modified,0.9373404114134042,-0.04370537491705362,0.9365305183555618,0.9363888465941453,7.2,13.4,4.8,0.044592901394935325,0.019511726611604725,2.8,1637.5740956005757,22.63861739920685,2.1552734375,807.998046875
BanknoteAuth,REP,0.9642786994027871,-0.016767086927670705,0.9637611668367881,0.9631017132190813,14.0,27.0,6.6,0.044922200322616845,0.02163140360677274,3.4,2.7990666014375165,16.938170199864544,4.8642578125,70.68125
BanknoteAuth,MEP,0.9642786994027871,-0.016767086927670705,0.9637611668367881,0.9631017132190813,14.0,27.0,6.6,0.044791500113205984,0.021911914036317336,3.4,2.9002631999901496,17.517459798546042,4.8642578125,70.71875
BanknoteAuth,DepthPruning,0.9730325149303252,-0.008013271400132638,0.9727023172163298,0.9727889012953469,17.8,34.6,6.0,0.04485799800022505,0.02071053955755634,4.0,2.7570615988224745,0.0,3.802734375,70.28984375
BanknoteAuth,XGBoost,0.9956230922362309,0.014577305905773108,0.995574028627205,0.995890854184642,1001.6,1805.6,2.0434683304183245,0.3313630986667704,0.08655558906556153,4.0,3846.1772767986986,59.26132819877239,199.73359375,579.7263671875
BreastCancer,Base,0.9209284272628475,0.0,0.914839243410982,0.9130923135713506,16.0,31.0,7.4,0.042771200969582424,0.019829626903574735,11.6,3.757721399597358,0.0,3.5205078125,71.7541015625
BreastCancer,CCP,0.9332091290172334,0.012280701754385892,0.9284973419183242,0.9276445494673468,10.2,19.4,5.4,0.04255299936630763,0.021356248576990745,7.2,58.58108559914399,3.8377586024580523,2.6240234375,84.172265625
BreastCancer,CCP_Modified,0.9315013196708586,0.01057289240801107,0.9267531513337101,0.9263110315640614,3.8,6.6,3.2,0.043087198719149455,0.01803691781749895,2.8,1462.077764001151,23.47542719944613,1.6240234375,880.1578125
BreastCancer,REP,0.9297469337059463,0.008818506443098784,0.9249925361275142,0.9248830190444994,5.0,9.0,4.4,0.04319610015954822,0.018303847727866095,5.0,4.35133960127132,9.905560802144464,3.5205078125,72.616015625
BreastCancer,MEP,0.9315013196708586,0.01057289240801107,0.926798265513059,0.9262719079333884,5.4,9.8,4.4,0.04309290015953593,0.01918651149338824,5.6,4.244431400729809,9.867765002127271,3.5205078125,72.6802734375
BreastCancer,DepthPruning,0.9279770222015216,0.0070485949386740465,0.9226994289113927,0.9215882504328295,13.4,25.8,6.0,0.04310710064601153,0.01975973269116329,9.4,4.019112400419544,0.0,3.115234375,72.1916015625
BreastCancer,XGBoost,0.9595870206489675,0.03865859338611999,0.9568733221725534,0.958239033685316,893.4,1581.0,2.203909018008472,0.20561169949360192,0.06661397833658239,29.4,4521.330216401839,99.250510398997,197.85390625,563.9947265625
HeartDisease,Base,0.7222222222222222,0.0,0.7159393660120605,0.7158333333333333,30.6,60.2,9.0,0.04130099914618768,0.020796332306285414,10.8,1.971410600526724,0.0,5.8017578125,30.8353515625
HeartDisease,CCP,0.7481481481481481,0.025925925925925908,0.7432959748221781,0.7433333333333334,12.8,24.6,6.0,0.041165398579323664,0.01963076450441629,6.6,51.324092800496146,1.937101200746838,3.0302734375,43.0025390625
HeartDisease,CCP_Modified,0.7111111111111111,-0.011111111111111072,0.6938428797463427,0.6950000000000001,4.0,7.0,3.4,0.04203390053589828,0.01851736048878544,2.6,1396.871856400685,17.74703999981284,1.6552734375,736.563671875
HeartDisease,REP,0.6925925925925925,-0.029629629629629672,0.6812820663710044,0.6825000000000001,2.8,4.6,2.4,0.04206090234220028,0.019534122053079486,5.6,2.441207402443979,18.047611000656616,5.8017578125,31.65390625
HeartDisease,MEP,0.6962962962962963,-0.025925925925925908,0.6879907498443938,0.6883333333333335,3.4,5.8,2.8,0.042234901775373146,0.017951762049341867,6.2,2.4513203985407017,17.036533598729875,5.8017578125,31.7154296875
HeartDisease,DepthPruning,0.7444444444444445,0.022222222222222254,0.7353958540006674,0.7341666666666666,20.6,40.2,6.0,0.0421900003857445,0.018065528028700453,9.4,2.603008998266887,0.0,4.240234375,31.302734375
HeartDisease,XGBoost,0.7962962962962962,0.07407407407407396,0.793396332872496,0.7925,535.6,961.2,2.5628066957119926,0.12458789933589287,0.05623656088412787,11.8,2364.8278419976123,36.77792420057813,114.7939453125,545.0591796875
Ionosphere,Base,0.8888531187122736,0.0,0.880145662714192,0.8834188034188035,18.2,35.4,10.8,0.04300530054024421,0.02094482658060326,12.6,3.5885313991457224,0.0,3.8642578125,54.0767578125
Ionosphere,CCP,0.9030583501006036,0.014205231388330075,0.8930868991949446,0.8896581196581197,9.8,18.6,6.8,0.04270029894541949,0.020411207160948398,7.0,52.50472439947771,3.3202356004039757,2.5615234375,65.61953125
Ionosphere,CCP_Modified,0.9116297786720322,0.02277665995975864,0.9033838779984127,0.9016581196581196,4.0,7.0,3.8,0.04383489940664731,0.01895496674323884,2.8,1384.5529300015187,25.458557599631604,1.6552734375,906.47578125
Ionosphere,REP,0.9030985915492957,0.014245472837022155,0.8943540246005834,0.8930598290598291,3.0,5.0,3.0,0.04375020071165636,0.020440888785541733,4.6,3.7815544026670977,11.440223197860178,3.8642578125,54.7873046875
Ionosphere,MEP,0.9002414486921528,0.011388329979879264,0.8897692292789461,0.8855042735042735,3.6,6.2,3.6,0.04311519878683612,0.01960604071283905,5.2,4.025861798436381,11.237320401414763,3.8642578125,54.8287109375
Ionosphere,DepthPruning,0.8973440643863178,0.008490945674044181,0.8857538271171641,0.877948717948718,9.8,18.6,6.0,0.04359989834483713,0.020121427680742883,7.4,3.5113929989165626,0.0,2.552734375,54.3845703125
Ionosphere,XGBoost,0.9230181086519114,0.03416498993963779,0.9144986746803847,0.9083076923076924,625.2,1125.4,2.5740382413835095,0.15253310193656944,0.05438871073816406,30.6,4255.7689700013725,62.79340800101636,130.04453125,622.8521484375
KC2,Base,0.8314285714285713,0.0,0.742778098912661,0.7444844312314192,49.0,97.0,14.2,0.04415010116645135,0.020113018098377355,18.2,2.677161000610795,0.0,8.7412109375,55.2369140625
KC2,CCP,0.841025641025641,0.00959706959706974,0.7319047207729582,0.7289495644917332,4.6,8.2,3.8,0.04316199847380631,0.02073845399037892,3.0,107.85770240181591,2.9609304008772597,1.8134765625,69.6712890625
